Addr: 0006cb48, Data 0010
Addr: 0006cb49, Data 0010
Addr: 0006cb4a, Data 0010
Addr: 0006cb4b, Data 0010
Addr: 0006cb4c, Data 0010
Addr: 0006cb4d, Data 0013
Addr: 0006cb4e, Data 001c
Addr: 0006cb4f, Data 002b
Addr: 0006cb50, Data 0018
Addr: 0006cb51, Data 0010
Addr: 0006cb52, Data 0010
Addr: 0006cb53, Data 0010
Addr: 0006cb54, Data 0000
Addr: 0006cb55, Data 0000
Addr: 0006cb56, Data 0000
Addr: 0006cb57, Data 0000
Addr: 0006cb58, Data 0010
Addr: 0006cb59, Data 0010
Addr: 0006cb5a, Data 0010
Addr: 0006cb5b, Data 0010
Addr: 0006cb5c, Data 0010
Addr: 0006cb5d, Data 0027
Addr: 0006cb5e, Data 000e
Addr: 0006cb5f, Data ffe2
Addr: 0006cb60, Data ffc9
Addr: 0006cb61, Data ffdc
Addr: 0006cb62, Data 000e
Addr: 0006cb63, Data 0010
Addr: 0006cb64, Data 0000
Addr: 0006cb65, Data 0000
Addr: 0006cb66, Data 0000
Addr: 0006cb67, Data 0000
Addr: 0006cb68, Data 0010
Addr: 0006cb69, Data 0010
Addr: 0006cb6a, Data 0010
Addr: 0006cb6b, Data 0010
Addr: 0006cb6c, Data 000f
Addr: 0006cb6d, Data 0001
Addr: 0006cb6e, Data ffcc
Addr: 0006cb6f, Data ff4b
Addr: 0006cb70, Data ff9c
Addr: 0006cb71, Data ffae
Addr: 0006cb72, Data ffd9
Addr: 0006cb73, Data 0010
Addr: 0006cb74, Data 0000
Addr: 0006cb75, Data 0000
Addr: 0006cb76, Data 0000
Addr: 0006cb77, Data 0000
Addr: 0006cb78, Data 0010
Addr: 0006cb79, Data 0010
Addr: 0006cb7a, Data 0010
Addr: 0006cb7b, Data 0010
Addr: 0006cb7c, Data 0006
Addr: 0006cb7d, Data fff5
Addr: 0006cb7e, Data ff65
Addr: 0006cb7f, Data ffa6
Addr: 0006cb80, Data 0009
Addr: 0006cb81, Data ffb6
Addr: 0006cb82, Data ffa6
Addr: 0006cb83, Data 0010
Addr: 0006cb84, Data 0000
Addr: 0006cb85, Data 0000
Addr: 0006cb86, Data 0000
Addr: 0006cb87, Data 0000
Addr: 0006cb88, Data 0010
Addr: 0006cb89, Data 0010
Addr: 0006cb8a, Data 0010
Addr: 0006cb8b, Data 0010
Addr: 0006cb8c, Data 0008
Addr: 0006cb8d, Data ffda
Addr: 0006cb8e, Data ff44
Addr: 0006cb8f, Data 0011
Addr: 0006cb90, Data 001a
Addr: 0006cb91, Data fff0
Addr: 0006cb92, Data ff7d
Addr: 0006cb93, Data 0010
Addr: 0006cb94, Data 0000
Addr: 0006cb95, Data 0000
Addr: 0006cb96, Data 0000
Addr: 0006cb97, Data 0000
Addr: 0006cb98, Data 0010
Addr: 0006cb99, Data 0010
Addr: 0006cb9a, Data 0010
Addr: 0006cb9b, Data 0010
Addr: 0006cb9c, Data 000e
Addr: 0006cb9d, Data ffd7
Addr: 0006cb9e, Data ff5a
Addr: 0006cb9f, Data 002b
Addr: 0006cba0, Data 0012
Addr: 0006cba1, Data fffb
Addr: 0006cba2, Data ff72
Addr: 0006cba3, Data 0010
Addr: 0006cba4, Data 0000
Addr: 0006cba5, Data 0000
Addr: 0006cba6, Data 0000
Addr: 0006cba7, Data 0000
Addr: 0006cba8, Data 0010
Addr: 0006cba9, Data 0010
Addr: 0006cbaa, Data 0010
Addr: 0006cbab, Data 0010
Addr: 0006cbac, Data 000a
Addr: 0006cbad, Data ffaf
Addr: 0006cbae, Data ff93
Addr: 0006cbaf, Data 0019
Addr: 0006cbb0, Data 0009
Addr: 0006cbb1, Data fffa
Addr: 0006cbb2, Data ff62
Addr: 0006cbb3, Data 0010
Addr: 0006cbb4, Data 0000
Addr: 0006cbb5, Data 0000
Addr: 0006cbb6, Data 0000
Addr: 0006cbb7, Data 0000
Addr: 0006cbb8, Data 0010
Addr: 0006cbb9, Data 0010
Addr: 0006cbba, Data 0010
Addr: 0006cbbb, Data 0010
Addr: 0006cbbc, Data 0008
Addr: 0006cbbd, Data ff8b
Addr: 0006cbbe, Data ffef
Addr: 0006cbbf, Data 002e
Addr: 0006cbc0, Data 0006
Addr: 0006cbc1, Data 0003
Addr: 0006cbc2, Data ff6b
Addr: 0006cbc3, Data 0010
Addr: 0006cbc4, Data 0000
Addr: 0006cbc5, Data 0000
Addr: 0006cbc6, Data 0000
Addr: 0006cbc7, Data 0000
Addr: 0006cbc8, Data 0010
Addr: 0006cbc9, Data 0010
Addr: 0006cbca, Data 0010
Addr: 0006cbcb, Data 0010
Addr: 0006cbcc, Data 0008
Addr: 0006cbcd, Data ff88
Addr: 0006cbce, Data fff5
Addr: 0006cbcf, Data 0013
Addr: 0006cbd0, Data 0013
Addr: 0006cbd1, Data fffa
Addr: 0006cbd2, Data ffcc
Addr: 0006cbd3, Data 0025
Addr: 0006cbd4, Data 0000
Addr: 0006cbd5, Data 0000
Addr: 0006cbd6, Data 0000
Addr: 0006cbd7, Data 0000
Addr: 0006cbd8, Data 0010
Addr: 0006cbd9, Data 0010
Addr: 0006cbda, Data 0010
Addr: 0006cbdb, Data 0017
Addr: 0006cbdc, Data fffd
Addr: 0006cbdd, Data ff83
Addr: 0006cbde, Data ffdd
Addr: 0006cbdf, Data fff7
Addr: 0006cbe0, Data ffdd
Addr: 0006cbe1, Data ff79
Addr: 0006cbe2, Data 0029
Addr: 0006cbe3, Data 0016
Addr: 0006cbe4, Data 0000
