Addr: 0006da48, Data fffa
Addr: 0006da49, Data 0006
Addr: 0006da4a, Data ffbf
Addr: 0006da4b, Data 00fc
Addr: 0006da4c, Data ffd9
Addr: 0006da4d, Data ffc9
Addr: 0006da4e, Data fef3
Addr: 0006da4f, Data 008a
Addr: 0006da50, Data ffb6
Addr: 0006da51, Data ffe1
Addr: 0006da52, Data ff65
Addr: 0006da53, Data ffe9
Addr: 0006da54, Data ff98
Addr: 0006da55, Data 0021
Addr: 0006da56, Data feb9
Addr: 0006da57, Data ff9d
Addr: 0006da58, Data ffc6
Addr: 0006da59, Data ff9c
Addr: 0006da5a, Data ffc9
Addr: 0006da5b, Data 0088
Addr: 0006da5c, Data ffa4
Addr: 0006da5d, Data ffb8
Addr: 0006da5e, Data ff83
Addr: 0006da5f, Data ffa8
Addr: 0006da60, Data ff97
Addr: 0006da61, Data ffa7
Addr: 0006da62, Data ffa9
Addr: 0006da63, Data ff96
Addr: 0006da64, Data ff83
Addr: 0006da65, Data ffd6
Addr: 0006da66, Data ff76
Addr: 0006da67, Data 006b
Addr: 0006da68, Data fff9
Addr: 0006da69, Data fff2
Addr: 0006da6a, Data 0134
Addr: 0006da6b, Data ffc0
Addr: 0006da6c, Data 0017
Addr: 0006da6d, Data ff37
Addr: 0006da6e, Data 00aa
Addr: 0006da6f, Data ff19
Addr: 0006da70, Data 0013
Addr: 0006da71, Data ffc2
Addr: 0006da72, Data 0122
Addr: 0006da73, Data feee
Addr: 0006da74, Data 0001
Addr: 0006da75, Data ffb4
Addr: 0006da76, Data 00c9
Addr: 0006da77, Data 0025
Addr: 0006da78, Data ffb3
Addr: 0006da79, Data 005d
Addr: 0006da7a, Data 005c
Addr: 0006da7b, Data 00da
Addr: 0006da7c, Data 000a
Addr: 0006da7d, Data 007f
Addr: 0006da7e, Data ff92
Addr: 0006da7f, Data 00ad
Addr: 0006da80, Data 0088
Addr: 0006da81, Data ffb9
Addr: 0006da82, Data ffcb
Addr: 0006da83, Data 0045
Addr: 0006da84, Data 0087
Addr: 0006da85, Data 0025
Addr: 0006da86, Data ffea
Addr: 0006da87, Data ff8d
Addr: 0006da88, Data ff98
Addr: 0006da89, Data ffd4
Addr: 0006da8a, Data 001e
Addr: 0006da8b, Data ffa4
Addr: 0006da8c, Data ff2e
Addr: 0006da8d, Data 004f
Addr: 0006da8e, Data fff3
Addr: 0006da8f, Data 000a
Addr: 0006da90, Data ff8a
Addr: 0006da91, Data 0013
Addr: 0006da92, Data ffda
Addr: 0006da93, Data 0046
Addr: 0006da94, Data ffa0
Addr: 0006da95, Data ff67
Addr: 0006da96, Data ff78
Addr: 0006da97, Data ffd2
Addr: 0006da98, Data ffb2
Addr: 0006da99, Data ff51
Addr: 0006da9a, Data ffab
Addr: 0006da9b, Data ff69
Addr: 0006da9c, Data ff7e
Addr: 0006da9d, Data ffc6
Addr: 0006da9e, Data ffa3
Addr: 0006da9f, Data fff0
Addr: 0006daa0, Data ff55
Addr: 0006daa1, Data ffb9
Addr: 0006daa2, Data ff8c
Addr: 0006daa3, Data 0030
Addr: 0006daa4, Data ffd7
Addr: 0006daa5, Data ffa5
Addr: 0006daa6, Data ff11
Addr: 0006daa7, Data 0056
Addr: 0006daa8, Data ffd0
Addr: 0006daa9, Data ffa8
Addr: 0006daaa, Data 006e
Addr: 0006daab, Data ffd9
Addr: 0006daac, Data ffd9
Addr: 0006daad, Data ffc5
Addr: 0006daae, Data 0011
Addr: 0006daaf, Data ff8a
Addr: 0006dab0, Data ffd7
Addr: 0006dab1, Data ffb7
Addr: 0006dab2, Data ffee
Addr: 0006dab3, Data ffd6
Addr: 0006dab4, Data 004c
Addr: 0006dab5, Data ff51
Addr: 0006dab6, Data 008d
