Addr: 00077688, Data 002e
Addr: 00077689, Data 0097
Addr: 0007768a, Data 0037
Addr: 0007768b, Data 0014
Addr: 0007768c, Data ffce
Addr: 0007768d, Data ff48
Addr: 0007768e, Data ff80
Addr: 0007768f, Data ff66
Addr: 00077690, Data ffc6
Addr: 00077691, Data 001f
Addr: 00077692, Data 004b
Addr: 00077693, Data 002c
Addr: 00077694, Data ff56
Addr: 00077695, Data ff8d
Addr: 00077696, Data 0005
Addr: 00077697, Data ffca
Addr: 00077698, Data 002c
Addr: 00077699, Data 0056
Addr: 0007769a, Data 0061
Addr: 0007769b, Data fff4
Addr: 0007769c, Data 004a
Addr: 0007769d, Data 0053
Addr: 0007769e, Data 0025
Addr: 0007769f, Data 0019
Addr: 000776a0, Data ff8b
Addr: 000776a1, Data ffc5
Addr: 000776a2, Data ffd1
Addr: 000776a3, Data ff72
Addr: 000776a4, Data ffdc
Addr: 000776a5, Data ff89
Addr: 000776a6, Data ffea
Addr: 000776a7, Data 00e1
Addr: 000776a8, Data ffc4
Addr: 000776a9, Data 0013
Addr: 000776aa, Data ffe0
Addr: 000776ab, Data ffe2
Addr: 000776ac, Data ffe2
Addr: 000776ad, Data 004e
Addr: 000776ae, Data ffd1
Addr: 000776af, Data ffe1
Addr: 000776b0, Data 001c
Addr: 000776b1, Data 0038
Addr: 000776b2, Data 0046
Addr: 000776b3, Data 0032
Addr: 000776b4, Data ff80
Addr: 000776b5, Data 005b
Addr: 000776b6, Data 0052
Addr: 000776b7, Data 0035
Addr: 000776b8, Data ffe8
Addr: 000776b9, Data 0004
Addr: 000776ba, Data 0029
Addr: 000776bb, Data 008b
Addr: 000776bc, Data 0069
Addr: 000776bd, Data ff93
Addr: 000776be, Data 0046
Addr: 000776bf, Data ff83
Addr: 000776c0, Data 0025
Addr: 000776c1, Data 0019
Addr: 000776c2, Data 003b
Addr: 000776c3, Data 0041
Addr: 000776c4, Data 0074
Addr: 000776c5, Data 0039
Addr: 000776c6, Data 0058
Addr: 000776c7, Data 007a
Addr: 000776c8, Data 0049
Addr: 000776c9, Data ffc4
Addr: 000776ca, Data ffaf
Addr: 000776cb, Data 001f
Addr: 000776cc, Data 005b
Addr: 000776cd, Data 006f
Addr: 000776ce, Data 0075
Addr: 000776cf, Data ffd2
Addr: 000776d0, Data ff47
Addr: 000776d1, Data 004b
Addr: 000776d2, Data 003c
Addr: 000776d3, Data ffae
Addr: 000776d4, Data 0082
Addr: 000776d5, Data ff54
Addr: 000776d6, Data 0024
Addr: 000776d7, Data 0007
Addr: 000776d8, Data fffe
Addr: 000776d9, Data 0040
Addr: 000776da, Data ffe5
Addr: 000776db, Data ffd8
Addr: 000776dc, Data 009c
Addr: 000776dd, Data ffd3
Addr: 000776de, Data 0077
Addr: 000776df, Data ffca
Addr: 000776e0, Data 000e
Addr: 000776e1, Data 0033
Addr: 000776e2, Data 0028
Addr: 000776e3, Data 001e
Addr: 000776e4, Data 00a4
Addr: 000776e5, Data ffe6
Addr: 000776e6, Data 0036
Addr: 000776e7, Data ffb9
Addr: 000776e8, Data 000e
Addr: 000776e9, Data 000a
Addr: 000776ea, Data fffe
Addr: 000776eb, Data ffcb
Addr: 000776ec, Data 0090
Addr: 000776ed, Data ffdd
Addr: 000776ee, Data 0053
Addr: 000776ef, Data 008f
Addr: 000776f0, Data ff17
Addr: 000776f1, Data ffeb
Addr: 000776f2, Data 006c
Addr: 000776f3, Data 000f
Addr: 000776f4, Data ff8b
Addr: 000776f5, Data ffc0
Addr: 000776f6, Data 00a3
Addr: 000776f7, Data 0018
Addr: 000776f8, Data ffef
Addr: 000776f9, Data 0073
Addr: 000776fa, Data ff15
Addr: 000776fb, Data 003c
Addr: 000776fc, Data ff8e
Addr: 000776fd, Data ffa1
Addr: 000776fe, Data ffa3
Addr: 000776ff, Data 0083
Addr: 00077700, Data 0031
Addr: 00077701, Data ffc2
Addr: 00077702, Data ffb3
Addr: 00077703, Data ff64
Addr: 00077704, Data ffe2
Addr: 00077705, Data 0007
Addr: 00077706, Data ffcb
Addr: 00077707, Data 0075
Addr: 00077708, Data ffcf
Addr: 00077709, Data ff59
Addr: 0007770a, Data ffbd
Addr: 0007770b, Data ffcf
Addr: 0007770c, Data 0065
Addr: 0007770d, Data ff8f
Addr: 0007770e, Data 004a
Addr: 0007770f, Data 007b
Addr: 00077710, Data 001b
Addr: 00077711, Data ffc4
Addr: 00077712, Data ff7b
Addr: 00077713, Data ffeb
Addr: 00077714, Data 003a
Addr: 00077715, Data 008d
Addr: 00077716, Data ffcc
Addr: 00077717, Data 0010
Addr: 00077718, Data 0060
Addr: 00077719, Data 0054
Addr: 0007771a, Data ffe4
Addr: 0007771b, Data 0076
Addr: 0007771c, Data 0067
Addr: 0007771d, Data 00af
Addr: 0007771e, Data 006b
Addr: 0007771f, Data ff60
Addr: 00077720, Data 0063
Addr: 00077721, Data ffc1
Addr: 00077722, Data fff3
Addr: 00077723, Data 00ba
Addr: 00077724, Data 005b
Addr: 00077725, Data ff99
Addr: 00077726, Data 008d
Addr: 00077727, Data ffd1
Addr: 00077728, Data 00c9
Addr: 00077729, Data ffe5
Addr: 0007772a, Data ffc8
Addr: 0007772b, Data ffc7
Addr: 0007772c, Data 0071
Addr: 0007772d, Data 0052
Addr: 0007772e, Data fff6
Addr: 0007772f, Data ff5d
Addr: 00077730, Data 0031
Addr: 00077731, Data ffd5
Addr: 00077732, Data 0099
Addr: 00077733, Data ffd6
Addr: 00077734, Data ffd3
Addr: 00077735, Data 0067
Addr: 00077736, Data fff8
Addr: 00077737, Data ff33
Addr: 00077738, Data 0005
Addr: 00077739, Data ff67
Addr: 0007773a, Data ffe6
Addr: 0007773b, Data 0076
Addr: 0007773c, Data ff8c
Addr: 0007773d, Data ffd9
Addr: 0007773e, Data 00f5
Addr: 0007773f, Data 0000
Addr: 00077740, Data 003f
Addr: 00077741, Data 004f
Addr: 00077742, Data ffec
Addr: 00077743, Data ffe2
Addr: 00077744, Data ff77
Addr: 00077745, Data ffe9
Addr: 00077746, Data ffbd
Addr: 00077747, Data ff4c
Addr: 00077748, Data 00c2
Addr: 00077749, Data ff71
Addr: 0007774a, Data ffeb
Addr: 0007774b, Data 009c
Addr: 0007774c, Data ff9f
Addr: 0007774d, Data ff41
Addr: 0007774e, Data 0053
Addr: 0007774f, Data ffe2
Addr: 00077750, Data ff7a
Addr: 00077751, Data fffd
Addr: 00077752, Data ffd8
Addr: 00077753, Data fed2
Addr: 00077754, Data ff85
Addr: 00077755, Data 0031
Addr: 00077756, Data 002b
Addr: 00077757, Data 0053
Addr: 00077758, Data ffa6
Addr: 00077759, Data ff9f
Addr: 0007775a, Data 0071
Addr: 0007775b, Data 00de
Addr: 0007775c, Data ff1f
Addr: 0007775d, Data 004f
Addr: 0007775e, Data ffa9
Addr: 0007775f, Data ffd2
Addr: 00077760, Data ff45
Addr: 00077761, Data ff88
Addr: 00077762, Data 00c4
Addr: 00077763, Data ffd4
Addr: 00077764, Data ff98
Addr: 00077765, Data 0044
Addr: 00077766, Data fffc
Addr: 00077767, Data ffcb
Addr: 00077768, Data ffce
Addr: 00077769, Data ffe7
Addr: 0007776a, Data fff2
Addr: 0007776b, Data ff9f
Addr: 0007776c, Data 002d
Addr: 0007776d, Data 0053
Addr: 0007776e, Data ffdc
Addr: 0007776f, Data ffa4
Addr: 00077770, Data 0049
Addr: 00077771, Data ffb3
Addr: 00077772, Data 00c8
Addr: 00077773, Data 0034
Addr: 00077774, Data 003b
Addr: 00077775, Data 00b3
Addr: 00077776, Data fee6
Addr: 00077777, Data ffab
Addr: 00077778, Data 0075
Addr: 00077779, Data 0040
Addr: 0007777a, Data ff9a
Addr: 0007777b, Data ff03
Addr: 0007777c, Data 001d
Addr: 0007777d, Data 0003
Addr: 0007777e, Data 00b0
Addr: 0007777f, Data 0060
Addr: 00077780, Data ffff
Addr: 00077781, Data 0072
Addr: 00077782, Data 0041
Addr: 00077783, Data 0029
Addr: 00077784, Data fffb
Addr: 00077785, Data fff4
Addr: 00077786, Data ffd5
Addr: 00077787, Data 002a
Addr: 00077788, Data ffd0
Addr: 00077789, Data ffb6
Addr: 0007778a, Data ffe8
Addr: 0007778b, Data 006c
Addr: 0007778c, Data ffad
Addr: 0007778d, Data fffe
Addr: 0007778e, Data ffda
Addr: 0007778f, Data 0033
Addr: 00077790, Data ffb5
Addr: 00077791, Data ff9c
Addr: 00077792, Data ffc2
Addr: 00077793, Data ffee
Addr: 00077794, Data 0029
Addr: 00077795, Data 0078
Addr: 00077796, Data ffb6
Addr: 00077797, Data ffd5
Addr: 00077798, Data 005f
Addr: 00077799, Data ffe9
Addr: 0007779a, Data 0038
Addr: 0007779b, Data fff1
Addr: 0007779c, Data 0006
Addr: 0007779d, Data ff9b
